Incorrect:

Errors:

Does not match convention:
('exa*metre*kelvin', 'E m K')
('exa*metre*kelvin', 'EmK')
('yotta*metre*metre', 'Y*m*m')
('yotta*metre*metre', 'Y m m')
('yotta*metre*metre', 'Ymm')
('zetta*metre*metre', 'Z*m*m')
('zetta*metre*metre', 'Z m m')
('zetta*metre*metre', 'Zmm')
('hecto*metre*metre', 'h*m*m')
('hecto*metre*metre', 'h m m')
('hecto*metre*metre', 'hmm')
('centi*metre*metre', 'c*m*m')
('centi*metre*metre', 'c m m')
('centi*metre*metre', 'cmm')
('milli*metre*metre', 'm*m*m')
('milli*metre*metre', 'm m m')
('milli*metre*metre', 'mmm')
('micro*metre*metre', 'mu*m*m')
('micro*metre*metre', 'mu m m')
('micro*metre*metre', 'mumm')
('femto*metre*metre', 'f*m*m')
('femto*metre*metre', 'f m m')
('femto*metre*metre', 'fmm')
('zepto*metre*metre', 'z*m*m')
('zepto*metre*metre', 'z m m')
('zepto*metre*metre', 'zmm')
('yocto*metre*metre', 'y*m*m')
('yocto*metre*metre', 'y m m')
('yocto*metre*metre', 'ymm')
('peta*metre*metre', 'P*m*m')
('peta*metre*metre', 'P m m')
('peta*metre*metre', 'Pmm')
('tera*metre*metre', 'T*m*m')
('tera*metre*metre', 'T m m')
('tera*metre*metre', 'Tmm')
('giga*metre*metre', 'G*m*m')
('giga*metre*metre', 'G m m')
('giga*metre*metre', 'Gmm')
('mega*metre*metre', 'M*m*m')
('mega*metre*metre', 'M m m')
('mega*metre*metre', 'Mmm')
('kilo*metre*metre', 'k*m*m')
('kilo*metre*metre', 'k m m')
('kilo*metre*metre', 'kmm')
('deka*metre*metre', 'da*m*m')
('deka*metre*metre', 'da m m')
('deka*metre*metre', 'damm')
('deci*metre*metre', 'd*m*m')
('deci*metre*metre', 'd m m')
('deci*metre*metre', 'dmm')
('nano*metre*metre', 'n*m*m')
('nano*metre*metre', 'n m m')
('nano*metre*metre', 'nmm')
('pico*metre*metre', 'p*m*m')
('pico*metre*metre', 'p m m')
('pico*metre*metre', 'pmm')
('atto*metre*metre', 'a*m*m')
('atto*metre*metre', 'a m m')
('atto*metre*metre', 'amm')
('exa*metre*metre', 'E*m*m')
('exa*metre*metre', 'E m m')
('exa*metre*metre', 'Emm')
('yotta*metre*gram', 'Y*m*g')
('yotta*metre*gram', 'Y m g')
('yotta*metre*gram', 'Ymg')
('zetta*metre*gram', 'Z*m*g')
('zetta*metre*gram', 'Z m g')
('zetta*metre*gram', 'Zmg')
('hecto*metre*gram', 'h*m*g')
('hecto*metre*gram', 'h m g')
('hecto*metre*gram', 'hmg')
('centi*metre*gram', 'c*m*g')
('centi*metre*gram', 'c m g')
('centi*metre*gram', 'cmg')
('milli*metre*gram', 'm*m*g')
('milli*metre*gram', 'm m g')
('milli*metre*gram', 'mmg')
('micro*metre*gram', 'mu*m*g')
('micro*metre*gram', 'mu m g')
('micro*metre*gram', 'mumg')
('femto*metre*gram', 'f*m*g')
('femto*metre*gram', 'f m g')
('femto*metre*gram', 'fmg')
('zepto*metre*gram', 'z*m*g')
('zepto*metre*gram', 'z m g')
('zepto*metre*gram', 'zmg')
('yocto*metre*gram', 'y*m*g')
('yocto*metre*gram', 'y m g')
('yocto*metre*gram', 'ymg')
('peta*metre*gram', 'P*m*g')
('peta*metre*gram', 'P m g')
('peta*metre*gram', 'Pmg')
('tera*metre*gram', 'T*m*g')
('tera*metre*gram', 'T m g')
('tera*metre*gram', 'Tmg')
('giga*metre*gram', 'G*m*g')
('giga*metre*gram', 'G m g')
('giga*metre*gram', 'Gmg')
('mega*metre*gram', 'M*m*g')
('mega*metre*gram', 'M m g')
('mega*metre*gram', 'Mmg')
('kilo*metre*gram', 'k*m*g')
('kilo*metre*gram', 'k m g')
('kilo*metre*gram', 'kmg')
('deka*metre*gram', 'da*m*g')
('deka*metre*gram', 'da m g')
('deka*metre*gram', 'damg')
('deci*metre*gram', 'd*m*g')
('deci*metre*gram', 'd m g')
